time,nb_people,people_passed
21:38:00,0,0
21:38:09,26,26
21:38:24,57,31
21:38:32,88,31
21:38:37,114,26
21:38:43,136,22
21:38:53,176,40
21:39:03,227,51
21:39:08,255,28
21:39:13,300,45
21:39:18,325,25
21:39:22,364,39
21:39:31,400,36
21:39:42,438,38
21:39:46,459,21
21:39:48,477,18
21:39:50,493,16
21:39:56,540,47
21:40:11,614,74
21:40:15,635,21
21:40:21,665,30
21:40:25,692,27
21:40:31,719,27
21:40:36,738,19
21:40:38,754,16
21:40:44,789,35
21:40:46,806,17
21:40:49,821,15
21:40:52,844,23
21:40:55,869,25
21:41:01,905,36
21:41:04,924,19
21:41:07,946,22
21:41:09,958,12
21:41:10,967,9
21:41:14,1004,37
21:41:19,1042,38
21:41:23,1065,23
21:41:28,1094,29
21:41:32,1127,33
21:41:34,1144,17
21:41:36,1162,18
21:41:39,1182,20
21:41:41,1199,17
21:41:42,1208,9
21:41:45,1224,16
21:41:50,1267,43
21:41:53,1285,18
21:41:55,1299,14
21:41:58,1314,15
21:42:03,1336,22
21:42:10,1363,27
21:42:12,1374,11
21:42:17,1400,26
21:42:21,1425,25
21:42:25,1441,16
21:42:32,1489,48
21:42:34,1503,14
21:42:35,1510,7
21:42:38,1526,16
21:42:42,1552,26
21:42:44,1561,9
21:42:46,1575,14
21:42:48,1584,9
21:42:51,1601,17
21:42:53,1609,8
21:42:59,1637,28
21:43:01,1649,12
21:43:03,1667,18
21:43:06,1694,27
21:43:09,1714,20
21:43:11,1731,17
21:43:14,1750,19
21:43:18,1780,30
21:43:22,1811,31
21:43:24,1817,6
21:43:28,1835,18
21:43:31,1863,28
21:43:36,1887,24
21:43:41,1910,23
21:43:46,1929,19
21:43:57,1970,41
21:44:04,1996,26
21:44:17,2014,18
21:44:32,2030,16
